,title,company,rating,location,salary,summary
0,Cloud Engineer - AWS,Futuralis,,"Hyderabad, Telangana•Temporarily Remote","₹5,00,000 a year",AWS cloud: 2 years (Required).Migration activities from legacy data centers to modern cloud platforms.Assist in creating a tailor-made architectures using…30+ days ago
1,Cloud Engineer - Azure+SCCM+O365+Sophos,Allegient Unified Technology Pvt Ltd,,"New Delhi, Delhi","₹20,000 - ₹40,000 a month","Progression comes with deep understanding and years of experience to deliver a better performing, highly secure and efficiently managed private cloud…1 day ago"
2,AWS Cloud Engineer,"DivIHN Integration, Inc",,"Chennai, Tamil Nadu•Temporarily Remote","₹8,00,000 - ₹10,00,000 a year",You will also be responsible for implementing continuous integration and deployment of code to the cloud-hosted environments to accelerate development and…17 days ago
3,AWS/DevOps Engineer,Raven,,"Hyderabad, Telangana•Remote","₹50,000 - ₹1,00,000 a month","AWS cloud formation, Cloud development kit: 5 years (Preferred).Practical hands-on experience with developing and maintaining applications that live in AWS.11 days ago"
4,Cloud Engineer,American Technology Consulting LLC,4.6,"Chennai, Tamil Nadu+3 locations","₹50,616 - ₹1,45,054 a month","Experience with wide cloud services and understanding of.Experience with Infra automation using terraform, cloud.Experimentation and rapid problem solving.5 days ago"
5,AWS Cloud Engineer,Cyma Systems Inc,,"Hyderabad, Telangana","₹70,000 a month","Key cloud skill areas are AWS Service Catalog, AWS Config, AWS Lambda, and AWS Systems Manager with an understanding of CloudFormation and Stack sets as it…3 days ago·More...View all Cyma Systems Inc jobs - Hyderabad jobsSalary Search: AWS Cloud Engineer salaries in Hyderabad, Telangana"
6,Networking and Cloud Engineer,Neobric IT Solutions Pvt Ltd,,"Hyderabad, Telangana•Temporarily Remote","₹25,000 - ₹50,000 a month","Setting up monitoring, troubleshooting infrastructure components hosted in various cloud environments such as AWS, Microsoft Azure & on-premise data centers.22 days ago·More...View all Neobric IT Solutions Pvt Ltd jobs - Hyderabad jobsSalary Search: Networking and Cloud Engineer salaries in Hyderabad, Telangana"
7,AWS Cloud Engineer,Big BANG HR Advisors,,"Hyderabad, Telangana","₹5,00,000 - ₹10,00,000 a year","Communicating with both developers and non-technical stakeholders of the organisation's cloud footprint.Maintaining cloud components to maximize their uptime…9 days ago·More...View all Big BANG HR Advisors jobs - Hyderabad jobsSalary Search: AWS Cloud Engineer salaries in Hyderabad, Telangana"
8,Hiring for AWS -Cloud Engineer,amoli talents,,"Hyderabad, Telangana","₹8,50,000 a year"," Proficient in CI/CD Pipelines  Deploy and manage AWS Serverless application running on API Gateway and LAMBDA  Experience with release, change and…18 days ago·More...View all amoli talents jobs - Hyderabad jobsSalary Search: Hiring for AWS -Cloud Engineer salaries in Hyderabad, Telangana"
9,Cloud Engineer,Streams Inc,,"Pune, Maharashtra+3 locations•Remote","₹20,00,000 a year","As a Cloud Engineer, you will help the platform team attain maturity in the cloud technology stack, architecture, and DevOps practices with the goal to create…2 days ago·More...View all Streams Inc jobs - Pune jobsSalary Search: Cloud Engineer salaries in Pune, Maharashtra"
