,title,company,rating,location,salary,summary
0,Data Scientist - AI Flagship,Schneider Electric,3.9,"Bengaluru, Karnataka",,"Provide data science contribution into the assigned projects.She interacts also with Analytics Apps & Infrastructure team in order to industrialize data…8 days ago·More...View all Schneider Electric jobs - Bengaluru jobsSalary Search: Data Scientist - AI Flagship salaries in Bengaluru, KarnatakaSee popular questions & answers about Schneider Electric"
1,Data Scientist (1 to 3 + yrs Exp),IceCream Labs,,"Bengaluru, Karnataka•Remote",,"Experience working with real world problems and data is required.Experience working with tensorflow, pyTorch to building LSTM, RNN, GRU models for text,…3 days ago·More...View all IceCream Labs jobs - Bengaluru jobsSalary Search: Data Scientist (1 to 3 + yrs Exp) salaries in Bengaluru, Karnataka"
2,Data Scientist,Envestnet,3.5,"Bengaluru, Karnataka",,"Experience in working with huge datasets and big data technologies.Deep understanding of statistical modelling/machine learning/ data mining concepts.14 days ago·More...View all Envestnet jobs - Bengaluru jobsSalary Search: Data Scientist salaries in Bengaluru, KarnatakaSee popular questions & answers about Envestnet"
3,Data Scientist I,EagleView,,"Bengaluru, Karnataka",,"Contribute across diﬀerent stages of deep learning model development including data collection, data cleaning, model development, validation and deployment.11 days ago·More...View all EagleView jobs - Bengaluru jobsSalary Search: Data Scientist I salaries in Bengaluru, Karnataka"
4,Data Scientist,Square yards,4.0,"Mumbai, Maharashtra","₹3,60,000 - ₹9,50,000 a year","Experience with messy real-world real-estate data -- handling missing/incomplete/inaccurate data – in English and Indian Languages.6 days ago·More...View all Square yards jobs - Mumbai jobsSalary Search: Data Scientist salaries in Mumbai, MaharashtraSee popular questions & answers about Square yards"
5,Data scientist,Crisil,3.9,"Mumbai, Maharashtra",,"Experienced in working with large and multiple datasets, data warehouses and ability to pull data using relevant programs and coding.4 days ago·More...View all Crisil jobs - Mumbai jobsSalary Search: Data scientist salaries in Mumbai, MaharashtraSee popular questions & answers about Crisil"
6,Data Scientist,Schneider Electric,3.9,"Bengaluru, Karnataka",,"Exploratory data analysis and hypothesis testing to identify ML opportunities is a plus.Exploratory data analysis and hypothesis testing to identify ML…8 days ago·More...View all Schneider Electric jobs - Bengaluru jobsSalary Search: Data Scientist salaries in Bengaluru, KarnatakaSee popular questions & answers about Schneider Electric"
7,Data Scientist,BD,3.8,"Bengaluru, Karnataka",,"Monitor data science models in production.Evolve best data operational practices and maintain all compliance requirements.8 days ago·More...View all BD jobs - Bengaluru jobsSalary Search: Data Scientist salaries in Bengaluru, KarnatakaSee popular questions & answers about BD"
8,Data Scientist Intern,CODEC Networks Pvt ltd,,"Delhi, Delhi",,"Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.18 days ago·More...View all CODEC Networks Pvt ltd jobs - Delhi jobsSalary Search: Data Scientist Intern salaries in Delhi, Delhi"
9,Data Scientist,ABB,3.9,"Bengaluru, Karnataka",,"Ability to effectively work with a team of data scientists exchanging knowledge.Understanding business data and how to use it appropriately in data analysis.18 days ago·More...View all ABB jobs - Bengaluru jobsSalary Search: Data Scientist salaries in Bengaluru, KarnatakaSee popular questions & answers about ABB"
10,Data Scientist / Machine Learning Engineer,PubMatic,3.9,"Pune, Maharashtra•Temporarily Remote",,"Conduct data analysis to make product recommendations and design A/B experiments.Experience with scripting in SQL - extracting large data sets and design of…3 days ago·More...View all PubMatic jobs - Pune jobsSalary Search: Data Scientist / Machine Learning Engineer salaries in Pune, MaharashtraSee popular questions & answers about PubMatic"
11,Data Scientist & Business Development,Gridlogic,,"Hyderabad, Telangana",,"Proven experience as a data scientist or data analyst.You will continuously drive data culture and evangelize use of data science in all possible aspects of…30+ days ago·More...View all Gridlogic jobs - Hyderabad jobsSalary Search: Data Scientist & Business Development salaries in Hyderabad, Telangana"
12,Data Scientist,"Sense Talent Labs, Inc.",,"Bengaluru, Karnataka",,"Analyze datasets with traditional and modern data science technique.Leverage deep technical knowledge and collaborate across data science, product and…30 days ago·More...View all Sense Talent Labs, Inc. jobs - Bengaluru jobsSalary Search: Data Scientist salaries in Bengaluru, Karnataka"
13,Data Scientist,Rystad Energy,,"Bengaluru, Karnataka",,"Build systems for capturing, structuring and storing large amounts of relevant data, including building of SQL databases, daily data gathering and storing…4 days ago·More...View all Rystad Energy jobs - Bengaluru jobsSalary Search: Data Scientist salaries in Bengaluru, Karnataka"
14,Data Scientist,Lenovo,3.9,"Bengaluru, Karnataka",,"Basic Qualifications: - 5+ years of industry experience building machine learning solutions from business ideas to products - Provide guidance and mentorship to…30+ days ago·More...View all Lenovo jobs - Bengaluru jobsSalary Search: Data Scientist salaries in Bengaluru, KarnatakaSee popular questions & answers about Lenovo"
15,Data Scientist,Invesco,3.9,"Administrative Building, Andhra Pradesh",,"Proficiency in statistical data analysis and data mining packages.Proficiency in statistical data analysis and data mining packages.9 days ago·More...View all Invesco jobs - Administrative Building jobsSalary Search: Data Scientist salaries in Administrative Building, Andhra PradeshSee popular questions & answers about Invesco"
16,Data Scientist,AT&T,3.7,"Hyderabad, Telangana+1 location",,"Analyze large and complex data sets, from various sources while thinking strategically about uses of data and generate empirical data and deliver AI based…30+ days ago·More...View all AT&T jobs - Hyderabad jobsSalary Search: Data Scientist salaries in Hyderabad, TelanganaSee popular questions & answers about AT&T"
17,Data Scientist Ops,TransOrg Analytics,2.0,"Gurgaon, Haryana•Temporarily Remote",,"Moderate familiarity with deep learning, big data stacks.Validate and audit data science content going on various marketing channels.10 days ago·More...View all TransOrg Analytics jobs - Gurgaon jobsSalary Search: Data Scientist Ops salaries in Gurgaon, HaryanaSee popular questions & answers about TransOrg Analytics"
18,Senio Executive - Data Scientist,NielsenIQ,3.5,"Vadodara, Gujarat",,"Good aptitude for data analysis.Proactively identify potential risks to the data quality of analyses, assist in required.WHO YOU WILL MOSTLY WORK WITH.3 days ago·More...View all NielsenIQ jobs - Vadodara jobsSalary Search: Senio Executive - Data Scientist salaries in Vadodara, GujaratSee popular questions & answers about NielsenIQ"
19,Data Scientist II,General Mills,3.9,"Mumbai, Maharashtra•Remote",,"Collaborate with larger team for gathering data.Provide the “story” not just the data.Have hands-on experience in data management by handling variety of point…2 days ago·More...View all General Mills jobs - Mumbai jobsSalary Search: Data Scientist II salaries in Mumbai, MaharashtraSee popular questions & answers about General Mills"
20,Data Scientist,Applied Materials Inc.,3.9,"Bengaluru, Karnataka+1 location",,"Experience extracting, combining, and conditioning various data formats from multiple sources using shellScript.Worked on R packages like Data.30+ days ago·More...View all Applied Materials Inc. jobs - Bengaluru jobsSalary Search: Data Scientist salaries in Bengaluru, KarnatakaSee popular questions & answers about Applied Materials Inc."
21,Data Science/ AIML Intern,Educazione Pvt. Ltd.,,"Kolkata, West Bengal•Temporarily Remote","₹15,000 - ₹20,000 a month","Temporarily due to COVID-19.9 days ago·More...View all Educazione Pvt. Ltd. jobs - Kolkata jobsSalary Search: Data Science/ AIML Intern salaries in Kolkata, West Bengal"
22,Finance Data Scientist - Associate,PwC,4.0,"Bengaluru, Karnataka",,"Handle, manipulate and analyse data and information responsibly.Our Analytics Insights team is responsible for serving as a strategic business partner for an…30+ days ago·More...View all PwC jobs - Bengaluru jobsSalary Search: Finance Data Scientist - Associate salaries in Bengaluru, KarnatakaSee popular questions & answers about PwC"
23,Data Scientist big data Pyspark,Invogue creations,,"Mumbai, Maharashtra",,"Must have 4 years experience in big data Python Ml and Dl.Total work: 4 years (Preferred).3 days ago·More...View all Invogue creations jobs - Mumbai jobsSalary Search: Data Scientist big data Pyspark salaries in Mumbai, Maharashtra"
