,title,company,rating,location,salary,summary
0,"Python Developer (2- 4 years) ""Permanent WFH""",Maplelabs,,"Bengaluru, Karnataka•Remote","₹5,00,000 - ₹12,00,000 a year","MapleLabs Inc ,a Silicon Valley based specialized solutions and services organization focused on solving some of the complex problems in applications management…19 days ago·More...View all Maplelabs jobs - Bengaluru jobsSalary Search: Python Developer (2- 4 years) ""Permanent WFH"" salaries in Bengaluru, Karnataka"
1,Python Developer,Vouchpro Services Private Limited,,"Hyderabad, Telangana","₹15,000 a month","People looking for WFH need not apply.*.Looking for a Fresher or someone with experience with knowledge of Flask, HTML, CSS, JS.4 days ago·More...View all Vouchpro Services Private Limited jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
2,Python Developer,Social Studio,,"Pune, Maharashtra","₹50,000 a month",The candidate must be well versed with:Develop back-end components to improve responsiveness and overall performance.Assess and prioritize feature requests.30+ days ago
3,Backend Developer,Msarii,,"Bengaluru, Karnataka•Remote","₹50,000 - ₹60,000 a month",Integration of user-facing elements developed by a front-end developers with server side logic.Proficient knowledge of a back-end programming language {…7 days ago
4,Python Developer,www.yansisofsol.com,,"Hyderabad, Telangana•Remote","₹35,000 - ₹45,000 a month","Any graduate can apply with basic skills for java and python trained or untrained candidates can apply basic english required day and night shift both male and…2 days ago·More...View all www.yansisofsol.com jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
5,Python Developer,Tata Consultancy Services (TCS),3.9,"Bengaluru, Karnataka+2 locations","₹80,000 - ₹99,000 a month","Strong knowledge in python programming and classes.Identify better optimization ways to improve performance of code.Identify bugs in the model.1 day ago·More...View all Tata Consultancy Services (TCS) jobs - Bengaluru jobsSalary Search: Python Developer salaries in Bengaluru, KarnatakaSee popular questions & answers about Tata Consultancy Services (TCS)"
6,"Python Developer (2- 4 years) ""Permanent WFH""",Maplelabs,,"Bengaluru, Karnataka•Remote","₹5,00,000 - ₹12,00,000 a year","MapleLabs Inc ,a Silicon Valley based specialized solutions and services organization focused on solving some of the complex problems in applications management…19 days ago·More...View all Maplelabs jobs - Bengaluru jobsSalary Search: Python Developer (2- 4 years) ""Permanent WFH"" salaries in Bengaluru, Karnataka"
7,Python Developer,Vouchpro Services Private Limited,,"Hyderabad, Telangana","₹15,000 a month","People looking for WFH need not apply.*.Looking for a Fresher or someone with experience with knowledge of Flask, HTML, CSS, JS.4 days ago·More...View all Vouchpro Services Private Limited jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
8,Python Developer,Talos Global,,"Hyderabad, Telangana+2 locations•Remote","₹15,00,000 - ₹25,00,000 a year","An experienced Pyspark, Python Developer.Must be able to develop standard SQL Queries.Minimum 2-3 years of Python Development experience.3 days ago·More...View all Talos Global jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
9,Python Developer,Achala IT solutions,,"Hyderabad, Telangana","₹8,00,000 - ₹10,00,000 a year","3-5 years of Python working experience.Expertise in at least one popular Python framework /Django/ Flask,.Knowledge of object-relational mapping d.4 days ago·More...View all Achala IT solutions jobs - Hyderabad jobsSalary Search: Python Developer salaries in Hyderabad, Telangana"
